id,latitude_deg,longitude_deg,local_code
6827,32.26530075,-91.69779968,05LA
6828,41.74890137,-87.93509674,05LL
6829,31.25219917,-92.47579956,05LS
6830,34.71979,-97.214237,
6831,42.69120026,-70.91230011,05MA
6832,39.25009918,-76.2052002,05MD
6833,44.6570015,-67.55919647,05ME
322876,47.5175001,-92.2302778,05MN
6834,36.42979813,-89.68009949,05MO
6835,32.31890106,-90.16809845,05MS
329892,45.815368,-111.152163,05MT
6836,34.008099,-78.2911,
6837,41.72219849,-98.30899811,05NE
6838,42.9239006,-70.95140076,05NH
6839,40.7140007,-74.03150177,05NJ
324404,39.0311,-114.088219,05NV
6840,43.55199814,-76.09020233,05NY
6841,41.28839874,-81.96260071,05OI
6842,35.8534,-97.567497,
6843,45.44150162,-117.3509979,05OR
6844,39.9548,-75.178201,05PA
6845,40.30009842,-76.85800171,05PN
6846,40.14279938,-77.86190033,05PS
6847,45.85150146,-123.2419968,05S
6848,29.8090992,-96.26509857,05TA
6849,30.7220993,-97.79139709,05TE
6850,35.556998,-89.552903,
6851,33.12929916,-97.3585968,05TS
6852,32.12919998,-97.40419769,05TX
6853,37.03329849,-110.3170013,05UT
6854,37.41109848,-105.552002,05V
6855,37.2242012,-78.41860199,05VA
6856,45.01330185,-73.08670044,05VT
6857,47.64820099,-117.4140015,05WA
6858,42.65110016,-88.74590302,05WI
45907,48.702222,-118.0475,05WN
6859,33.07929993,-91.54319763,05XS
6860,46.30379868,-95.4394989,05Y
45272,61.627619,-149.575331,06AK
6861,31.38839912,-85.97239685,06AL
6862,35.54449844,-92.18489838,06AR
6863,33.28580093,-111.7529984,06AZ
6864,44.9070015,-68.80500031,06B
6865,34.87080002,-116.8339996,06CA
6866,35.15719986,-118.2890015,06CL
6867,37.38750076,-103.6910019,06CO
6868,26.90839958,-80.3289032,06FA
6869,28.64170074,-81.88500214,06FD
6870,27.95339966,-82.8042984,06FL
6871,33.7533989,-84.16210175,06GA
6872,38.4333992,-86.69110107,06I
6873,41.84140015,-91.83429718,06IA
6874,43.46269989,-116.3590012,06ID
6875,41.59949875,-88.86990356,06IL
6876,39.282799,-87.303596,
6877,40.54639816,-91.27429962,06IS
6878,37.69580078,-97.37249756,06KS
6879,37.52590179,-83.34519958,06KY
6880,29.84600067,-90.02780151,06LA
6881,41.8736,-88.496901,
6882,30.70789909,-91.32019806,06LS
6883,42.69060135,-71.60900116,06MA
6884,39.29140091,-76.5463028,06MD
322276,44.415247,-70.844275,06ME
6885,42.25109863,-84.3914032,06MI
6886,47.65190125,-92.41670227,06MN
6887,39.23059845,-94.80439758,06MO
6888,48.55830002,-112.1090012,06MT
6889,41.43199921,-74.39160156,06N
6890,34.82749939,-78.93029785,06NC
6891,46.74890137,-101.6689987,06ND
6892,40.68000031,-95.86170197,06NE
6893,42.92839813,-70.97309875,06NH
6894,39.950102,-74.999603,
324414,39.098333,-114.150277,06NV
6895,42.84280014,-76.44529724,06NY
6896,41.1147995,-80.65699768,06O1
6897,41.50979996,-80.59120178,06OH
6898,39.73479843,-84.38220215,06OI
6899,36.54169846,-94.83360291,06OK
6900,45.46509933,-123.0800018,06OR
6901,41.995792,-78.288152,06PA
45764,40.382733,-76.772533,06PN
6902,40.40230179,-79.9213028,06PS
6903,29.94190025,-96.24610138,06R
6904,37.58390045,-97.25309753,06SN
6905,30.90850067,-97.11689758,06TA
6906,30.31270027,-95.02690125,06TE
6907,35.69729996,-86.95690155,06TN
6908,32.120701,-96.179101,
6909,30.05760002,-95.81289673,06TX
6910,38.24900055,-78.8553009,06VA
6911,47.68629837,-117.197998,06WA
6912,45.66270065,-92.45020294,06WI
15372,46.92499924,-122.5530014,06WN
6913,33.3246994,-97.04419708,06XS
6914,45.83000183,-96.16059875,06Y
318194,61.6959639,-149.9549028,07AA
6915,31.12520027,-85.97910309,07AL
6916,35.19449997,-92.80020142,07AR
6917,33.56669998,-112.0690002,07AZ
6918,44.44800186,-68.56970215,07B
6919,35.13890076,-119.4509964,07CA
6920,39.49769974,-121.7710037,07CL
6921,39.2635994,-104.427002,07CO
6922,41.45289993,-72.24960327,07CT
6923,43.0644989,-82.72380066,07D
6924,25.3253994,-80.27480316,07FA
6925,30.417999,-83.283796,
6926,26.60540009,-81.85949707,07FL
6927,33.67499924,-83.76309967,07GA
6928,39.05870056,-86.44609833,07I
6929,42.27819824,-113.3050003,07ID
6930,39.01060104,-85.64080048,07II
6931,39.57369995,-85.91390228,07IN
6932,41.11259842,-98.05169678,07K
6933,37.73419952,-96.93669891,07KS
6934,38.08060074,-85.69329834,07KY
6935,29.937099,-90.183701,
6936,32.51810074,-91.98899841,07LS
6937,41.91699982,-70.70950317,07MA
6938,39.60829926,-77.05190277,07MD
6939,43.73830032,-70.33920288,07ME
6940,43.86420059,-85.02390289,07MI
6941,44.05500031,-95.90950012,07MN
6942,38.65000153,-93.61689758,07MO
6943,48.42110062,-106.5279999,07MT
6944,40.01679993,-77.00389862,07N
6945,34.83319855,-80.75119781,07NC
6946,43.17559814,-72.06390381,07NH
6947,40.793666,-73.994863,07NJ
324410,39.102239,-114.053472,07NV
6948,42.66640091,-74.76499939,07NY
6949,39.9373,-81.683503,
6950,34.63339996,-99.03369904,07OK
6951,45.42179871,-122.6200027,07OR
45747,40.998889,-78.125278,07PN
6952,39.77280045,-99.36009979,07SN
6953,29.240519,-95.344658,07TA
6954,27.72109985,-97.51280212,07TE
6955,35.5685997,-84.2410965,07TN
6956,30.625,-97.57279968,07TS
6957,33.18399811,-96.44799805,07TX
310114,41.716667,-112.447222,07UT
6958,36.81959915,-78.78309631,07VA
6959,44.44720078,-72.91470337,07VT
6960,47.651637,-117.424477,07WA
6961,42.965302,-88.391502,
6962,32.54219818,-97.39170074,07XS
6963,46.95550156,-93.59690094,07Y
45248,61.569639,-149.724439,08AK
6964,35.142046,-90.190212,
6965,33.41740036,-111.836998,08AZ
6966,44,-69.88710022,08B
6967,38.69490051,-120.8270035,08CA
6968,37.85960007,-120.5540009,08CL
45316,36.172031,-119.306181,08CN
6969,38.73249817,-104.0410004,08CO
6970,41.89599991,-73.0931015,08CT
6971,34.53179932,-96.23310089,08F
6972,26.57979965,-81.48370361,08FA
6973,27.36310005,-80.77279663,08FD
6974,27.08449936,-81.3286972,08FL
6975,40.11090088,-81.52619934,08G
6976,31.42580032,-81.2858963,08GA
6977,43.56930161,-116.7770004,08ID
6978,41.645085,-85.426386,08II
6979,41.57699966,-89.79399872,08IL
45416,41.223056,-85.830556,02D
6980,37.97779846,-89.20290375,08IS
6981,39.03469849,-97.58000183,08KS
6982,36.97259903,-84.62609863,08KY
6983,29.95299911,-90.18260193,08LA
6984,41.07529831,-88.48919678,08LL
6985,30.40360069,-92.02359772,08LS
6986,42.29399872,-71.49620056,08MA
6987,39.38830185,-76.61000061,08MD
6988,44.81420135,-70.34529877,08ME
6989,42.73419952,-84.53659821,08MI
6990,47.66939926,-93.05439758,08MN
6991,37.39559937,-94.28379822,08MO
6992,34.66220093,-89.86830139,08MS
6993,47.06389999,-108.8170013,08MT
6994,40.29180145,-76.32879639,08N
6995,36.06760025,-80.46559906,08NC
6996,47.32310104,-102.0979996,08ND
6997,42.43170166,-97.07949829,08NE
6998,44.06129837,-71.13580322,08NH
6999,40.76259995,-74.30400085,08NJ
7000,41.36809921,-74.50559998,08NY
7001,41.29169846,-80.56369781,08OH
7002,34.93149948,-95.25830078,08OK
327859,35.408087,-98.605477,08OL
7003,42.83929825,-121.1169968,08OR
7004,41.0583992,-75.49960327,08PA
7005,40.04589844,-76.28079987,08PN
7006,41.48949814,-71.62059784,08R
7007,29.95190048,-98.22450256,08TA
7008,29.975331,-98.742451,
7009,26.881331,-98.504885,
7010,32.85820007,-97.74749756,08TX
7011,41.51570129,-115.8600006,08U
7012,37.55400085,-79.74980164,08VA
7013,47.574299,-122.547997,
7014,43.04359818,-90.35510254,08WI
322194,30.479253,-96.504031,08XA
7015,29.10810089,-95.77749634,08XS
329058,62.969888,-150.75375,09AA
45270,61.589361,-149.847333,09AK
7016,33.27320099,-93.23989868,09AR
7017,31.9253006,-110.038002,09AZ
7018,36.20554,-121.132503,09CA
7019,39.11380005,-121.0569992,09CL
45317,36.182556,-119.313572,09CN
7020,38.05559921,-103.6529999,09CO
7021,27.24559975,-81.4131012,09FA
7022,28.67110062,-82.08730316,09FD
7023,27.05559921,-81.97059631,09FL
7024,31.11129951,-83.68409729,09GA
7025,48.60580063,-93.3707962,09I
7026,41.74580002,-92.40930176,09IA
7027,45.10390091,-114.8550034,09ID
7028,38.44729996,-86.44499969,09II
7029,41.536183,-88.052279,
7030,41.1208992,-85.42500305,09IN
7031,42.26499939,-89.07430267,09IS
7032,38.70700073,-95.13829803,09KS
7033,38.23899841,-85.63939667,09KY
7034,29.12330055,-90.2016983,09LA
7035,42.4681015,-88.74320221,09LL
7036,30.82439995,-91.38459778,09LS
7037,42.3042984,-71.50589752,09MA
7038,43.34080124,-70.85469818,09ME
7039,42.70809937,-84.56079865,09MI
7040,44.77999878,-95.66359711,09MN
7041,37.3783989,-93.36329651,09MO
7042,41.83259964,-73.87599945,09N
7043,35.32929993,-79.02999878,09NC
7044,41.33330154,-96.19360352,09NE
7045,40.65370178,-74.68650055,09NJ
324843,35.650122,-79.650311,09NR
7046,41.92890167,-74.04889679,09NY
7047,36.35449982,-95.86389923,09OK
7048,45.587235,-121.163827,09OR
7049,40.82699966,-77.98809814,09PA
7050,40.56200027,-75.1427002,09PN
7051,48.84090042,-117.2839966,09S
14580,33.282101,-97.497002,09T
7052,32.26679993,-97.86699677,09TE
7053,35.94169998,-83.94400024,09TN
7054,29.48240089,-103.1650009,09TS
7055,30.7390995,-102.0240021,09TX
7056,36.97650146,-80.49389648,09VA
7057,38.09080124,-78.98500061,09VG
